Pair,Buy Exchange,Sell Exchange,Buy Price,Sell Price,Spread %
PARTI/USDT,OKX,Binance,0.03079,0.0308,0.03248
LDO/USDT,OKX,Binance,0.3131,0.3132,0.03194
JTO/USDT,Binance,OKX,0.6348,0.635,0.03151
ZAMA/USDT,OKX,Binance,0.03316,0.03317,0.03016
USD1/USDT,Binance,OKX,0.9997,1.0,0.03001
KAIA/USDT,Binance,OKX,0.0337,0.03371,0.02967
G/USDT,Binance,OKX,0.0034,0.003401,0.02941
2Z/USDT,Binance,OKX,0.06919,0.06921,0.02891
UNI/USDT,OKX,Binance,3.555,3.556,0.02813
BONK/USDT,OKX,Binance,3.699e-06,3.7e-06,0.02703
GMT/USDT,OKX,Binance,0.007438,0.00744,0.02689
XAUT/USDT,Binance,OKX,4013.17,4014.2,0.02567
ZEN/USDT,Binance,OKX,4.05,4.051,0.02469
ACH/USDT,Binance,OKX,0.00433,0.004331,0.02309
CFG/USDT,OKX,Binance,0.17346,0.1735,0.02306
LUNA/USDT,Binance,OKX,0.0467,0.04671,0.02141
AVNT/USDT,Binance,OKX,0.0935,0.09352,0.02139
USDS/USDT,OKX,Binance,1.0008,1.001,0.01998
ETH/USDT,Binance,OKX,1781.14,1781.49,0.01965
ARKM/USDT,OKX,Binance,0.10948,0.1095,0.01827
LAYER/USDT,OKX,Binance,0.06409,0.0641,0.0156
HBAR/USDT,OKX,Binance,0.06598,0.06599,0.01516
ETC/USDT,Binance,OKX,6.85,6.851,0.0146
DOGE/USDT,Binance,OKX,0.07195,0.07196,0.0139
NIGHT/USDT,Binance,OKX,0.0292,0.029204,0.0137
A/USDT,Binance,OKX,0.0731,0.07311,0.01368
SOL/USDT,OKX,Binance,74.96,74.97,0.01334
AAVE/USDT,OKX,Binance,96.01,96.02,0.01042
BTC/USDT,Binance,OKX,62481.31,62484.7,0.00543
ATOM/USDT,Binance,Binance,1.519,1.519,0.0
AVAX/USDT,Binance,Binance,6.437,6.437,0.0
BAT/USDT,Binance,Binance,0.0804,0.0804,0.0
BCH/USDT,Binance,Binance,233.6,233.6,0.0
BLUR/USDT,Binance,Binance,0.01664,0.01664,0.0
CRV/USDT,Binance,Binance,0.2133,0.2133,0.0
EIGEN/USDT,Binance,Binance,0.2313,0.2313,0.0
ENS/USDT,Binance,Binance,4.08,4.08,0.0
HMSTR/USDT,Binance,Binance,0.0001962,0.0001962,0.0
ICP/USDT,Binance,Binance,2.182,2.182,0.0
LINEA/USDT,Binance,Binance,0.002495,0.002495,0.0
MASK/USDT,Binance,Binance,0.393,0.393,0.0
MEGA/USDT,Binance,Binance,0.0479,0.0479,0.0
NEAR/USDT,Binance,Binance,1.95,1.95,0.0
ONDO/USDT,Binance,Binance,0.306,0.306,0.0
OP/USDT,Binance,Binance,0.0991,0.0991,0.0
PENDLE/USDT,Binance,Binance,1.457,1.457,0.0
POL/USDT,Binance,Binance,0.08294,0.08294,0.0
PUMP/USDT,Binance,Binance,0.001472,0.001472,0.0
RLUSD/USDT,Binance,Binance,1.0012,1.0012,0.0
SAHARA/USDT,Binance,Binance,0.00936,0.00936,0.0
SAND/USDT,Binance,Binance,0.04683,0.04683,0.0
SUI/USDT,Binance,Binance,0.723,0.723,0.0
TIA/USDT,Binance,Binance,0.4024,0.4024,0.0
TNSR/USDT,Binance,Binance,0.032,0.032,0.0
TRUMP/USDT,Binance,Binance,1.535,1.535,0.0
TRX/USDT,Binance,Binance,0.325,0.325,0.0
USDC/USDT,Binance,Binance,1.001,1.001,0.0
WIF/USDT,Binance,Binance,0.1542,0.1542,0.0
WLD/USDT,Binance,Binance,0.3866,0.3866,0.0
XRP/USDT,Binance,Binance,1.0649,1.0649,0.0
YFI/USDT,Binance,Binance,2146.0,2146.0,0.0
ZK/USDT,Binance,Binance,0.01017,0.01017,0.0
